City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,tequisquiapan,20.5167,-99.8667,21.25,23,0,3.13,MX,1675551341
176,bandarbeyla,9.4942,50.8122,23.37,69,90,6.68,SO,1675551341
177,tanga,-5.0667,39.1,24.53,90,100,3.57,TZ,1675551342
178,broome,42.2506,-75.833,-6.83,60,100,4.12,US,1675551342
179,chokurdakh,70.6333,147.9167,-30.52,97,80,3.8,RU,1675551294
180,nanortalik,60.1432,-45.2371,-4.68,84,99,7.49,GL,1675551343
181,evensk,61.95,159.2333,-19.61,82,99,3.81,RU,1675551344
182,laguna,38.421,-121.4238,18.99,65,100,5.14,US,1675551344
183,nikolskoye,59.7035,30.7861,-4.01,91,99,2.94,RU,1675551183
184,bonavista,48.6499,-53.1147,-11.31,76,93,17.76,CA,1675551345
185,talnakh,69.4865,88.3972,-12.66,95,100,3.13,RU,1675551346
186,butaritari,3.0707,172.7902,27.36,80,65,8.45,KI,1675551232
187,leningradskiy,69.3833,178.4167,-31.96,99,100,2.02,RU,1675551346
188,chuy,-33.6971,-53.4616,18.69,93,22,5.66,UY,1675551347
189,chumikan,54.7183,135.315,-19.22,88,100,7.28,RU,1675551347
190,aklavik,68.2191,-135.0107,-35.0,68,20,1.54,CA,1675551158
191,dubai,25.2582,55.3047,18.96,72,20,2.06,AE,1675550705
192,iqaluit,63.7506,-68.5145,-36.84,65,40,6.71,CA,1675551348
193,ust-kulom,61.6864,53.6902,-21.16,100,99,0.91,RU,1675551348
194,saint-georges,12.0564,-61.7485,26.82,78,20,7.72,GD,1675551349
195,vanimo,-2.6741,141.3028,26.83,82,97,1.42,PG,1675551349
196,manono,-7.3,27.4167,19.76,97,97,1.1,CD,1675551350
197,nyazepetrovsk,56.0531,59.6028,-19.16,96,85,1.07,RU,1675551350
198,torbay,47.6666,-52.7314,-13.06,86,100,10.29,CA,1675551320
199,coihaique,-45.5752,-72.0662,27.34,56,37,4.09,CL,1675551210
200,snezhnogorsk,69.1933,33.2531,-16.12,100,92,1.65,RU,1675551351
201,vila velha,-20.3297,-40.2925,27.19,85,0,6.69,BR,1675551111
202,tuktoyaktuk,69.4541,-133.0374,-42.0,66,20,1.54,CA,1675551352
203,ust-nera,64.5667,143.2,-33.1,99,100,0.54,RU,1675551352
204,beyneu,45.3167,55.2,0.26,96,100,3.75,KZ,1675551352
205,esperance,-33.8667,121.9,19.38,61,0,6.87,AU,1675551226
206,luderitz,-26.6481,15.1594,17.89,83,42,7.06,NA,1675551098
207,sao francisco,-15.9486,-44.8644,24.71,69,17,1.48,BR,1675551074
208,belmonte,-15.8631,-38.8828,26.62,80,2,4.82,BR,1675551353
209,murgab,37.4966,61.9714,3.93,93,100,2.06,TM,1675551354
210,anchorage,61.2181,-149.9003,-2.05,92,100,1.54,US,1675551354
211,devarkonda,16.7,78.9333,19.77,45,0,2.19,IN,1675551355
212,musselburgh,55.9417,-3.0499,4.19,79,22,0.45,GB,1675551355
213,northam,51.0333,-4.2167,10.22,92,100,2.63,GB,1675551356
214,hualmay,-11.0964,-77.6139,23.05,78,96,3.36,PE,1675551346
215,lugazi,0.3772,32.9197,17.9,67,91,0.21,UG,1675551357
216,japura,-0.3167,102.35,22.61,98,100,0.65,ID,1675551357
217,ilulissat,69.2167,-51.1,-18.99,71,73,3.6,GL,1675551228
218,buin,-33.7333,-70.75,30.41,42,0,3.85,CL,1675551358
219,clyde river,70.4692,-68.5914,-26.87,58,100,7.72,CA,1675551238
220,tabuk,17.4189,121.4443,19.37,87,85,1.36,PH,1675551358
221,santa cruz do sul,-29.7175,-52.4258,25.09,50,53,1.77,BR,1675551359
222,sungaipenuh,-2.0833,101.3833,18.13,99,100,0.21,ID,1675551359
223,colmenar viejo,40.6591,-3.7676,8.02,44,0,2.23,ES,1675551301
224,lorengau,-2.0226,147.2712,28.86,69,100,2.53,PG,1675551360
225,edgewater,28.9889,-80.9023,20.07,63,75,7.72,US,1675551360
226,oranjemund,-28.55,16.4333,17.74,93,26,4.53,NA,1675551082
227,baie-comeau,49.2168,-68.1489,-21.18,41,0,5.66,CA,1675551361
228,nizhniy kuranakh,58.8353,125.4869,-25.88,100,100,0.59,RU,1675551361
229,taksimo,56.3444,114.8794,-21.33,92,100,0.95,RU,1675551362
230,aswan,24.0934,32.907,13.61,35,0,3.09,EG,1675551362
231,fortuna,40.5982,-124.1573,17.42,58,75,6.17,US,1675551363
232,port hardy,50.6996,-127.4199,8.1,93,100,12.86,CA,1675551364
233,george,-33.963,22.4617,20.75,88,10,3.09,ZA,1675551364
234,umm lajj,25.0213,37.2685,18.52,54,23,3.96,SA,1675551296
235,stephenville,32.2207,-98.2023,13.98,61,0,5.14,US,1675551365
236,naze,28.3667,129.4833,13.51,67,99,4.7,JP,1675551365
237,alice springs,-23.7,133.8833,18.75,55,1,0.51,AU,1675551121
238,skibbereen,51.55,-9.2667,5.62,88,45,3.82,IE,1675551367
239,lata,40.1629,-8.3327,5.04,68,0,1.96,PT,1675551368
240,tucuma,-0.1833,-50.05,24.14,91,98,2.62,BR,1675551368
241,kununurra,-15.7667,128.7333,26.99,78,100,3.09,AU,1675551369
242,homer,59.6425,-151.5483,-1.07,78,75,4.02,US,1675551369
243,korcula,42.9622,17.1369,5.51,45,0,10.29,HR,1675551370
244,nome,64.5011,-165.4064,-10.96,92,100,0.0,US,1675551081
245,lahad datu,5.0268,118.327,23.49,93,100,1.42,MY,1675551370
246,puerto del rosario,28.5004,-13.8627,14.86,72,20,3.09,ES,1675551371
247,tual,-5.6667,132.75,27.35,81,100,6.47,ID,1675551290
248,bubaque,11.2833,-15.8333,25.01,65,14,5.91,GW,1675551372
249,sao filipe,14.8961,-24.4956,22.15,63,23,6.34,CV,1675551263
250,altos,-5.0381,-42.46,30.17,57,84,2.5,BR,1675551192
251,mazatlan,23.2167,-106.4167,23.84,73,38,3.13,MX,1675551373
252,berlevag,70.8578,29.0864,-3.0,93,56,3.6,NO,1675551295
253,te anau,-45.4167,167.7167,17.98,97,100,2.65,NZ,1675551373
254,russell,32.3502,-85.1999,15.6,33,0,2.57,US,1675551374
255,camacha,33.0833,-16.3333,14.68,63,40,7.72,PT,1675551270
256,saint-augustin,51.226,-58.6502,-11.41,80,69,11.8,CA,1675551375
257,santa isabel do rio negro,-0.4139,-65.0192,23.75,96,95,1.15,BR,1675551375
258,krasnoborsk,61.5598,45.934,-18.24,100,100,0.13,RU,1675551376
259,alappuzha,9.49,76.3264,25.0,87,91,1.97,IN,1675551376
260,nabire,-3.3667,135.4833,23.88,96,100,1.6,ID,1675551377
261,husavik,66.0449,-17.3389,-2.68,75,38,6.62,IS,1675551378
262,kungurtug,50.5994,97.5228,-17.48,98,99,0.55,RU,1675551378
263,makat,47.6469,53.3463,-3.86,95,100,2.84,KZ,1675551379
264,ambilobe,-13.2,49.05,23.07,96,99,0.55,MG,1675551283
265,agadez,19.75,10.25,19.96,17,13,2.06,NE,1675551379
266,arona,28.0996,-16.681,13.23,64,40,4.63,ES,1675551380
267,axim,4.8699,-2.2405,25.91,89,100,3.5,GH,1675551167
